channel,account_id,type_value,value,total,account_display_name
youtube,UCSTK0MiKNgEiSecelafoOJg,fan,1920000.0,2315007.1677631577,IceBarBer
youtube,UCSTK0MiKNgEiSecelafoOJg,average_engagement_per_post,395007.1677631579,2315007.1677631577,IceBarBer
youtube,UCCJrkoCBepsJN2QUauufOPA,fan,2230000.0,2312892.9344262294,KNCraZy
youtube,UCCJrkoCBepsJN2QUauufOPA,average_engagement_per_post,82892.9344262295,2312892.9344262294,KNCraZy
youtube,UCadvHR_ymmdouo3Sgb7Uf_w,fan,1940000.0,2296872.215827338,Nontakan Ns.
youtube,UCadvHR_ymmdouo3Sgb7Uf_w,average_engagement_per_post,356872.2158273381,2296872.215827338,Nontakan Ns.
youtube,UC57WSNmOEXfkgG1ntHW1Gog,fan,1720000.0,2225539.523809524,Art AirsoftGun
youtube,UC57WSNmOEXfkgG1ntHW1Gog,average_engagement_per_post,505539.5238095238,2225539.523809524,Art AirsoftGun
youtube,UC5FX2EmL4t7c305hfr-idwQ,fan,1550000.0,2086891.1011235956,โคตรคูล
youtube,UC5FX2EmL4t7c305hfr-idwQ,average_engagement_per_post,536891.1011235955,2086891.1011235956,โคตรคูล
youtube,UCQ-6HE34kpItHWDFFZT4kCA,fan,1750000.0,2073059.1174242424,GU ZAP
youtube,UCQ-6HE34kpItHWDFFZT4kCA,average_engagement_per_post,323059.11742424243,2073059.1174242424,GU ZAP
youtube,UCdSisppJZ4MBJNaQLwGi65g,fan,1430000.0,2060987.7313432836,djpetjah channel
youtube,UCdSisppJZ4MBJNaQLwGi65g,average_engagement_per_post,630987.7313432836,2060987.7313432836,djpetjah channel
youtube,UCYJaEXB8t3HgZ_ssrJjeiRw,fan,1820000.0,2052214.4207650274,Attempt Z
youtube,UCYJaEXB8t3HgZ_ssrJjeiRw,average_engagement_per_post,232214.42076502732,2052214.4207650274,Attempt Z
youtube,UCPOF00BWsnx8oh0LVA5DESw,fan,1500000.0,2049707.0039840639,Skylaxy Channel
youtube,UCPOF00BWsnx8oh0LVA5DESw,average_engagement_per_post,549707.0039840637,2049707.0039840639,Skylaxy Channel
youtube,UCVjEs8VOp78cLw5jeFVS5bw,fan,1470000.0,2042878.855670103,กินไปไทยหรั่ง
youtube,UCVjEs8VOp78cLw5jeFVS5bw,average_engagement_per_post,572878.8556701031,2042878.855670103,กินไปไทยหรั่ง
youtube,UCqQ47H9Hzu3XMVGSzBQ5ruQ,fan,1770000.0,2030058.013888889,DevilMeiji
youtube,UCqQ47H9Hzu3XMVGSzBQ5ruQ,average_engagement_per_post,260058.01388888888,2030058.013888889,DevilMeiji
youtube,UC_oxoCEiqL9bDwzw1eSD8tg,fan,1960000.0,2016615.8867924528,TeamGarryMovieThai
youtube,UC_oxoCEiqL9bDwzw1eSD8tg,average_engagement_per_post,56615.88679245283,2016615.8867924528,TeamGarryMovieThai
youtube,UCIXBJ0PYVIz0iHDB9-3-8JQ,fan,1630000.0,2014882.0232558139,Mayy R
youtube,UCIXBJ0PYVIz0iHDB9-3-8JQ,average_engagement_per_post,384882.0232558139,2014882.0232558139,Mayy R
youtube,UCXV_7Qj4HTolVOmteahqzfA,fan,1930000.0,1948507.2784222737,HypnosTv
youtube,UCXV_7Qj4HTolVOmteahqzfA,average_engagement_per_post,18507.278422273783,1948507.2784222737,HypnosTv
youtube,UCvLTd9r06oLu9y79YfXrEqg,fan,1690000.0,1941691.0989399294,SUNFESOVERLOAD
youtube,UCvLTd9r06oLu9y79YfXrEqg,average_engagement_per_post,251691.09893992933,1941691.0989399294,SUNFESOVERLOAD
youtube,UCSz6VWkdibTHKhtU4RMHLoA,fan,831000.0,1919630.3214285714,SPOOKY TV
youtube,UCSz6VWkdibTHKhtU4RMHLoA,average_engagement_per_post,1088630.3214285714,1919630.3214285714,SPOOKY TV
youtube,UC4Ffqc39v2fxEcNois8ulaA,fan,1560000.0,1891996.198019802,MTR Mysterios
youtube,UC4Ffqc39v2fxEcNois8ulaA,average_engagement_per_post,331996.198019802,1891996.198019802,MTR Mysterios
youtube,UCoDfzfkC8oZNaGPB5_rJ8rA,fan,1450000.0,1842267.4090909092,Nisamanee.Nutt
youtube,UCoDfzfkC8oZNaGPB5_rJ8rA,average_engagement_per_post,392267.4090909091,1842267.4090909092,Nisamanee.Nutt
youtube,UCw4jgsCoGVD7ELLWFpvuG9w,fan,1370000.0,1813924.9087301588,SANDEE CH
youtube,UCw4jgsCoGVD7ELLWFpvuG9w,average_engagement_per_post,443924.90873015876,1813924.9087301588,SANDEE CH
youtube,UCive4O27QoY5Y9B4y-j0Ggw,fan,1640000.0,1800921.1542857143,N NEXT CH
youtube,UCive4O27QoY5Y9B4y-j0Ggw,average_engagement_per_post,160921.1542857143,1800921.1542857143,N NEXT CH
youtube,UCUm6cI1nHeu1nHWhw9neQ4g,fan,1690000.0,1797814.690140845,BoxSkin Bz.
youtube,UCUm6cI1nHeu1nHWhw9neQ4g,average_engagement_per_post,107814.69014084506,1797814.690140845,BoxSkin Bz.
