account_id,type,value,account_display_name,category,fan_range
1111995852155904,share,367615,Bebe Fit Routine,Blogger/Influencer,1M-9M
1111995852155904,comment,91813,Bebe Fit Routine,Blogger/Influencer,1M-9M
1111995852155904,tag_friend,18179,Bebe Fit Routine,Blogger/Influencer,1M-9M
1111995852155904,purchase_intention,3512,Bebe Fit Routine,Blogger/Influencer,1M-9M
1118411618261407,total_engagement,6504295,PJY Gamer,Gaming Video Creator,500K-1M
1118411618261407,reaction,5764641,PJY Gamer,Gaming Video Creator,500K-1M
1118411618261407,share,164184,PJY Gamer,Gaming Video Creator,500K-1M
1118411618261407,comment,538638,PJY Gamer,Gaming Video Creator,500K-1M
1118411618261407,tag_friend,30417,PJY Gamer,Gaming Video Creator,500K-1M
1118411618261407,purchase_intention,6415,PJY Gamer,Gaming Video Creator,500K-1M
112853268914512,total_engagement,32318086,I Roam Alone,Blogger/Influencer,1M-9M
112853268914512,reaction,30592245,I Roam Alone,Blogger/Influencer,1M-9M
112853268914512,share,1089755,I Roam Alone,Blogger/Influencer,1M-9M
112853268914512,comment,501611,I Roam Alone,Blogger/Influencer,1M-9M
112853268914512,tag_friend,123272,I Roam Alone,Blogger/Influencer,1M-9M
112853268914512,purchase_intention,11203,I Roam Alone,Blogger/Influencer,1M-9M
113397052526245,total_engagement,14445259,ลงทุนแมน,Finance & Business,1M-9M
113397052526245,reaction,11149456,ลงทุนแมน,Finance & Business,1M-9M
113397052526245,share,2513387,ลงทุนแมน,Finance & Business,1M-9M
113397052526245,comment,528490,ลงทุนแมน,Finance & Business,1M-9M
113397052526245,tag_friend,242667,ลงทุนแมน,Finance & Business,1M-9M
113397052526245,purchase_intention,11259,ลงทุนแมน,Finance & Business,1M-9M
1134473426637248,total_engagement,12355848,OHANA,Blogger/Influencer,1M-9M
1134473426637248,reaction,11243031,OHANA,Blogger/Influencer,1M-9M
1134473426637248,share,726401,OHANA,Blogger/Influencer,1M-9M
1134473426637248,comment,342076,OHANA,Blogger/Influencer,1M-9M
1134473426637248,tag_friend,43548,OHANA,Blogger/Influencer,1M-9M
1134473426637248,purchase_intention,792,OHANA,Blogger/Influencer,1M-9M
114215908612471,total_engagement,4217945,VRZO,Entertainment,1M-9M
114215908612471,reaction,3603703,VRZO,Entertainment,1M-9M
114215908612471,share,447569,VRZO,Entertainment,1M-9M
114215908612471,comment,117247,VRZO,Entertainment,1M-9M
114215908612471,tag_friend,47954,VRZO,Entertainment,1M-9M
114215908612471,purchase_intention,1472,VRZO,Entertainment,1M-9M
114258735318612,total_engagement,747738,Pearypie: Make-up Artist/Theatrical Artist,Blogger/Influencer,1M-9M
114258735318612,reaction,685016,Pearypie: Make-up Artist/Theatrical Artist,Blogger/Influencer,1M-9M
114258735318612,share,52661,Pearypie: Make-up Artist/Theatrical Artist,Blogger/Influencer,1M-9M
114258735318612,comment,7886,Pearypie: Make-up Artist/Theatrical Artist,Blogger/Influencer,1M-9M
114258735318612,tag_friend,2050,Pearypie: Make-up Artist/Theatrical Artist,Blogger/Influencer,1M-9M
114258735318612,purchase_intention,125,Pearypie: Make-up Artist/Theatrical Artist,Blogger/Influencer,1M-9M
1143383362379163,total_engagement,2208391,ตามติดชีวิตผีบ้า,Travel,500K-1M
1143383362379163,reaction,1730473,ตามติดชีวิตผีบ้า,Travel,500K-1M
1143383362379163,share,237109,ตามติดชีวิตผีบ้า,Travel,500K-1M
1143383362379163,comment,132899,ตามติดชีวิตผีบ้า,Travel,500K-1M
1143383362379163,tag_friend,98451,ตามติดชีวิตผีบ้า,Travel,500K-1M
1143383362379163,purchase_intention,9459,ตามติดชีวิตผีบ้า,Travel,500K-1M
114518109274672,total_engagement,2619695,หมอเวร,Health and Well-being,300K-500K
114518109274672,reaction,1900804,หมอเวร,Health and Well-being,300K-500K
114518109274672,share,545859,หมอเวร,Health and Well-being,300K-500K
114518109274672,comment,114533,หมอเวร,Health and Well-being,300K-500K
114518109274672,tag_friend,56237,หมอเวร,Health and Well-being,300K-500K
114518109274672,purchase_intention,2262,หมอเวร,Health and Well-being,300K-500K
114684511887112,total_engagement,42158,แมงเม่าคลับ แบ่งปันความรู้ในการเล่นหุ้น,Finance & Business,300K-500K
114684511887112,reaction,25648,แมงเม่าคลับ แบ่งปันความรู้ในการเล่นหุ้น,Finance & Business,300K-500K
114684511887112,share,15757,แมงเม่าคลับ แบ่งปันความรู้ในการเล่นหุ้น,Finance & Business,300K-500K
114684511887112,comment,592,แมงเม่าคลับ แบ่งปันความรู้ในการเล่นหุ้น,Finance & Business,300K-500K
114684511887112,tag_friend,121,แมงเม่าคลับ แบ่งปันความรู้ในการเล่นหุ้น,Finance & Business,300K-500K
114684511887112,purchase_intention,40,แมงเม่าคลับ แบ่งปันความรู้ในการเล่นหุ้น,Finance & Business,300K-500K
