,account_display_name,view,count,avg_view,created_at,fan,type_fan
450,MassAutoCar,10674844,234,45618,2020-12-28 16:11:52,125000,Silver
452,Maxed Out Style,4607406,48,95987,2020-12-24 16:53:52,280000,Silver
455,Mayy R,16047861,43,373206,2020-12-30 19:47:51,1630000,Gold
460,Meijimill,102500151,83,1234941,2020-12-13 15:14:29,3000000,Gold
461,Mena Noona,4671143,61,76576,2020-12-29 19:00:09,186000,Silver
463,Mero Studio,2444559,18,135808,2020-03-17 20:00:18,324000,Silver
464,MheeGamer,6717493,91,73818,2020-12-25 18:00:31,275000,Silver
468,MidoriKawa caster,58701750,376,156121,2020-12-31 09:30:05,933000,Silver
470,Milky Praiya,15616492,107,145948,2020-12-29 20:00:07,207000,Silver
471,MinORu,14479920,286,50629,2020-12-30 18:53:19,375000,Silver
472,MindaRyn _,11351695,84,135139,2020-12-28 20:15:28,916000,Silver
473,MinuteVideos Thailand,21400962,139,153963,2020-12-30 19:03:23,938000,Silver
479,Moment Racings,7658648,92,83246,2020-12-29 20:00:20,288000,Silver
482,MonDEV,60268411,63,956641,2020-12-26 13:41:49,4770000,Gold
487,Moowan,215365,4,53841,2020-01-30 18:26:26,104000,Silver
489,Moto Story Thailand,6356326,85,74780,2020-12-27 15:28:19,498000,Silver
493,Motobigbike Thailand,2116510,111,19067,2020-12-31 22:21:41,684000,Silver
495,Mouth Moy,13186083,153,86183,2020-12-21 18:13:22,633000,Silver
498,MrTeeKung,18425955,331,55667,2020-12-31 10:00:07,231000,Silver
500,Multilan,89221,2,44610,2020-07-27 17:16:58,241000,Silver
501,Munk TV,6951258,86,80828,2020-12-29 17:00:09,159000,Silver
503,My Mate Nate,256480170,217,1181936,2020-12-31 08:17:52,9770000,Gold
505,MyQuest,15293940,78,196076,2020-12-26 17:05:00,236000,Silver
506,N Join Play,5352580,119,44979,2020-12-26 09:00:09,424000,Silver
507,N NEXT CH,26877798,175,153587,2020-12-27 21:29:10,1640000,Gold
508,N.N.B CLUB,5763224,46,125287,2020-12-27 16:00:14,905000,Silver
509,NAEFIT,1848057,61,30296,2020-12-31 18:00:14,252000,Silver
510,NAKLAS GAMER,23068246,314,73465,2020-12-31 15:23:35,331000,Silver
511,NEETTO V.2,3163135,59,53612,2020-12-25 19:22:04,109000,Silver
513,NOBLUK,23822336,100,238223,2020-12-04 18:16:34,1000000,Gold
514,NOngBoN,7376753,482,15304,2020-12-29 17:49:51,111000,Silver
515,Naefit,8906033,95,93747,2020-08-05 21:39:50,211000,Silver
516,NagsTV,41257240,345,119586,2020-12-29 17:30:00,1080000,Gold
527,Newzkung Raccoonza,6955548,626,11111,2020-12-31 09:30:54,768000,Silver
528,NinaBeautyWorld,634370,37,17145,2020-12-31 11:30:59,196000,Silver
532,Nisamanee.Nutt,83389575,220,379043,2020-12-30 20:00:14,1450000,Gold
533,Nn.lardapha,11525977,149,77355,2020-12-30 18:00:03,321000,Silver
534,Nobi,22493551,179,125662,2020-12-27 10:52:39,1560000,Gold
535,Nontakan Ns.,47580877,139,342308,2020-12-30 20:31:39,1940000,Gold
537,NosickHandup,950376,15,63358,2020-08-18 09:00:07,214000,Silver
538,NosickHandup ใครไม่ป่วยยกมือขึ้น,327868,8,40983,2020-12-29 20:17:59,232000,Silver
539,NotebookSPEC,6485065,305,21262,2020-12-31 20:00:16,577000,Silver
540,NoteworthyMF,1227391,16,76711,2020-09-01 18:00:01,119000,Silver
541,Nuania,6085081,103,59078,2020-12-30 19:00:30,312000,Silver
543,Nueng Panuwat,6459861,80,80748,2020-12-29 20:29:22,750000,Silver
544,Nurseryus S.,2311333,51,45320,2020-12-22 13:13:05,150000,Silver
545,NutPintoChannel,18575686,381,48755,2020-12-31 18:00:30,961000,Silver
546,NutTH Channel,723828,48,15079,2020-12-06 09:30:09,793000,Silver
548,OHVER,52507460,141,372393,2020-12-30 18:25:23,2010000,Gold
549,OPZ TV,103357416,157,658327,2020-12-30 16:00:02,1890000,Gold
551,OhBIGz,3311828,115,28798,2020-12-31 16:00:05,215000,Silver
552,Online Station,21444484,559,38362,2020-12-31 17:00:12,717000,Silver
553,Oppa Thuchy,77673707,121,641931,2020-12-30 16:30:01,2170000,Gold
554,Outdoor Ch,8134943,128,63554,2020-12-20 16:25:34,159000,Silver
555,OverclockZoneTV,4146617,344,12054,2020-12-31 18:50:12,219000,Silver
556,Ozrealman,213738171,171,1249930,2020-12-30 11:00:03,2250000,Gold
557,PBSupercarPhotography,17009185,76,223805,2020-12-31 14:21:23,373000,Silver
559,PEACH EAT LAEK,194658878,126,1544911,2020-12-31 16:00:03,6650000,Gold
560,PEACHII,12367977,60,206132,2020-12-30 19:45:11,1260000,Gold
561,PHOLFOODMAFIA,2055422,756,2718,2020-12-31 20:00:08,515000,Silver
562,PIMMY TASTY,3480401,23,151321,2020-11-12 18:51:34,455000,Silver
563,PINTO GAMING,577243,10,57724,2020-02-25 19:34:35,196000,Silver
