channel,account_id,account_display_name,mapped_name
facebook,1512832648962606,"ENfoodgallery - enjoy food, enjoy life","ENfoodgallery - enjoy food, enjoy life"
facebook,1512997169009279,Foodyoucaneat เรากินได้ คุณก็กินได้,Foodyoucaneat เรากินได้ คุณก็กินได้
facebook,1514554848849607,บันทึกคนขี้เที่ยว,บันทึกคนขี้เที่ยว
facebook,151895391544324,Peachhypeach,peachhypeach
facebook,1519823004986414,ครัวป้ามารายห์,ครัวป้ามารายห์
facebook,210338009123434,Thai Livestream,Thai Livestream
facebook,1522668621359728,Loi story,Loi story
facebook,1523107561151019,Environman,Environman
facebook,1524669124470213,เบื่อผัว,เบื่อผัว
facebook,1526415970966495,คิดในใจ,คิดในใจ
facebook,1527630557471626,ตีแผ่ชีวิตมหาลัย,ตีแผ่ชีวิตมหาลัย
facebook,1529950080565270,กล้า สมุทวณิช,กล้า สมุทวณิช
facebook,153170028067469,Yoga with Jib,Yoga with Jib
facebook,1532657213616873,อวยไส้แตกแหกไส้ฉีก,อวยไส้แตกแหกไส้ฉีก
facebook,1534219343571848,Egadget Thailand - powerbank,Egadget Thailand - powerbank
facebook,1536395153279762,สาระบรรพชีวิน,สาระบรรพชีวิน
facebook,1537184269849659,Dujdow,Dujdow
facebook,1537345399850424,Foodbymay,Foodbymay
facebook,1537358433060968,ครูบอลลี่ Teacher ดาหวัน,ครูบอลลี่ Teacher ดาหวัน
facebook,1538217449757926,Baroctar,Baroctar
facebook,1540938496124910,CU.FITGIRL,CU.FITGIRL
facebook,1543122445984009,REDDY,REDDY
facebook,1544951868905557,Gssspotted,gssspotted
facebook,1544971805735023,1000MilesJourney,1000MilesJourney
facebook,1545448992149994,a ดวง,a ดวง
facebook,154646221272871,Money Talk,Money Talk
facebook,1547502455543958,StardewToon,StardewToon
facebook,1548711245381061,ผู้หญิงฟิตกล้ามหุ่นดี,ผู้หญิงฟิตกล้ามหุ่นดี
facebook,154984664519467,wongnai.com,wongnai.com
facebook,1550219711879374,F1 Thailand Fanclub,F1 Thailand Fanclub
facebook,1550251861682335,Judie TV,Judie TV
facebook,1551162318537871,วอนนาบีรีวิว,วอนนาบีรีวิว
